Fecha,ABK-BRUTO,ABK-NETO,%AGUA
01/10/2018,14120,13094,7.266288952
02/10/2018,14152,13094,7.475975127
03/10/2018,14378,13287,7.587981639
04/10/2018,14419,13287,7.850752479
05/10/2018,14291,13287,7.025400602
06/10/2018,14567,13287,8.78698428
07/10/2018,14699,13507,8.109395197
08/10/2018,14435,13507,6.428818843
09/10/2018,14757,13507,8.470556346
10/10/2018,14831,13507,8.927246983
11/10/2018,14856,13507,9.080506193
12/10/2018,14863,13507,9.123326381
13/10/2018,14817,13691,7.599379092
14/10/2018,14605,13691,6.258130777
15/10/2018,14550,13691,5.903780069
16/10/2018,14565,13691,6.000686577
17/10/2018,14483,13691,5.468480287
18/10/2018,14101,13379,5.120204241
19/10/2018,13451,12829,4.62419151
20/10/2018,13924,13133,5.680838839
21/10/2018,14688,13691,6.787854031
22/10/2018,14755,13691,7.211114876
23/10/2018,14872,13691,7.941097364
24/10/2018,15058,13691,9.078230841
25/10/2018,14983,13691,8.623106187
26/10/2018,14717,13691,6.971529524
27/10/2018,15133,14261,5.762241459
28/10/2018,14189,13691,3.509761083
29/10/2018,14438,13691,5.173846793
30/10/2018,14544,13691,5.864961496
31/10/2018,14408,13691,4.976401999
01/11/2018,14850,14031,5.515151515
02/11/2018,15094,14031,7.042533457
03/11/2018,14781,13826,6.460997226
04/11/2018,14767,13762,6.805715447
05/11/2018,14764,13826,6.353291791
06/11/2018,16047,15067,6.10706051
07/11/2018,14823,13826,6.726033866
08/11/2018,14847,13646,8.089176265
09/11/2018,14872,13646,8.243679398
10/11/2018,15110,13646,9.688947717
11/11/2018,14718,13646,7.283598315
12/11/2018,14477,13533,6.520687988
13/11/2018,13075,11936,8.711281071
14/11/2018,12847,11936,7.091149685
15/11/2018,12572,11936,5.058860961
16/11/2018,13729,12989,5.390050259
17/11/2018,14374,13646,5.064700153
18/11/2018,14597,13646,6.515037336
19/11/2018,14568,13646,6.328940143
20/11/2018,14571,13646,6.348225928
21/11/2018,14430,13516,6.334026334
22/11/2018,14436,13516,6.372956498
23/11/2018,14371,13516,5.949481595
24/11/2018,14414,13516,6.230054114
25/11/2018,14406,13516,6.177981397
26/11/2018,14718,13516,8.166870499
27/11/2018,14673,13516,7.885231377
28/11/2018,14556,13516,7.144820005
29/11/2018,14458,13516,6.515423987
30/11/2018,14039,13516,3.725336562
